# Arguments: [TransE(2625, num_relations=1, hidden_channels=50), 8000, 10, True]
Epoch,Precision,Recall,Hits
0,tensor(0.0166),tensor(0.0134),tensor(0.2381)
1,tensor(0.0189),tensor(0.0144),tensor(0.2814)
2,tensor(0.0239),tensor(0.0153),tensor(0.3225)
3,tensor(0.0246),tensor(0.0156),tensor(0.3139)
4,tensor(0.0237),tensor(0.0149),tensor(0.2965)
5,tensor(0.0252),tensor(0.0148),tensor(0.3182)
6,tensor(0.0250),tensor(0.0152),tensor(0.3225)
7,tensor(0.0267),tensor(0.0158),tensor(0.3247)
8,tensor(0.0259),tensor(0.0152),tensor(0.3203)
9,tensor(0.0244),tensor(0.0149),tensor(0.3052)
