# Arguments: [ComplEx(3595, num_relations=7, hidden_channels=50), 8000, 200, False]
Epoch,Precision,Recall,Hits
0,tensor(0.0077),tensor(0.0091),tensor(0.1320)
1,tensor(0.0080),tensor(0.0092),tensor(0.1364)
2,tensor(0.0079),tensor(0.0093),tensor(0.1342)
3,tensor(0.0081),tensor(0.0093),tensor(0.1385)
4,tensor(0.0080),tensor(0.0096),tensor(0.1407)
5,tensor(0.0085),tensor(0.0093),tensor(0.1450)
6,tensor(0.0091),tensor(0.0095),tensor(0.1537)
7,tensor(0.0092),tensor(0.0097),tensor(0.1558)
8,tensor(0.0091),tensor(0.0098),tensor(0.1558)
9,tensor(0.0095),tensor(0.0099),tensor(0.1602)
10,tensor(0.0101),tensor(0.0101),tensor(0.1710)
11,tensor(0.0102),tensor(0.0101),tensor(0.1710)
12,tensor(0.0105),tensor(0.0105),tensor(0.1797)
13,tensor(0.0106),tensor(0.0106),tensor(0.1818)
14,tensor(0.0114),tensor(0.0108),tensor(0.1840)
15,tensor(0.0116),tensor(0.0107),tensor(0.1840)
16,tensor(0.0121),tensor(0.0108),tensor(0.1883)
17,tensor(0.0127),tensor(0.0109),tensor(0.1926)
18,tensor(0.0131),tensor(0.0110),tensor(0.1991)
19,tensor(0.0130),tensor(0.0110),tensor(0.1970)
20,tensor(0.0139),tensor(0.0115),tensor(0.2078)
21,tensor(0.0147),tensor(0.0117),tensor(0.2165)
22,tensor(0.0157),tensor(0.0120),tensor(0.2208)
23,tensor(0.0161),tensor(0.0121),tensor(0.2251)
24,tensor(0.0168),tensor(0.0123),tensor(0.2294)
25,tensor(0.0170),tensor(0.0124),tensor(0.2273)
26,tensor(0.0172),tensor(0.0125),tensor(0.2316)
27,tensor(0.0173),tensor(0.0124),tensor(0.2273)
28,tensor(0.0181),tensor(0.0131),tensor(0.2403)
29,tensor(0.0190),tensor(0.0135),tensor(0.2489)
30,tensor(0.0195),tensor(0.0133),tensor(0.2511)
31,tensor(0.0203),tensor(0.0135),tensor(0.2619)
32,tensor(0.0206),tensor(0.0138),tensor(0.2662)
33,tensor(0.0208),tensor(0.0138),tensor(0.2706)
34,tensor(0.0214),tensor(0.0140),tensor(0.2727)
35,tensor(0.0222),tensor(0.0148),tensor(0.2835)
36,tensor(0.0221),tensor(0.0147),tensor(0.2814)
37,tensor(0.0215),tensor(0.0146),tensor(0.2857)
38,tensor(0.0221),tensor(0.0155),tensor(0.2900)
39,tensor(0.0228),tensor(0.0160),tensor(0.2900)
40,tensor(0.0231),tensor(0.0162),tensor(0.2879)
41,tensor(0.0235),tensor(0.0162),tensor(0.2922)
42,tensor(0.0246),tensor(0.0164),tensor(0.3009)
43,tensor(0.0252),tensor(0.0166),tensor(0.3095)
44,tensor(0.0248),tensor(0.0165),tensor(0.3074)
45,tensor(0.0251),tensor(0.0164),tensor(0.3074)
46,tensor(0.0250),tensor(0.0163),tensor(0.3052)
47,tensor(0.0256),tensor(0.0161),tensor(0.3074)
48,tensor(0.0262),tensor(0.0163),tensor(0.3095)
49,tensor(0.0266),tensor(0.0168),tensor(0.3139)
50,tensor(0.0268),tensor(0.0168),tensor(0.3139)
51,tensor(0.0273),tensor(0.0170),tensor(0.3203)
52,tensor(0.0275),tensor(0.0170),tensor(0.3203)
53,tensor(0.0274),tensor(0.0172),tensor(0.3225)
54,tensor(0.0277),tensor(0.0173),tensor(0.3268)
55,tensor(0.0279),tensor(0.0174),tensor(0.3312)
56,tensor(0.0281),tensor(0.0174),tensor(0.3290)
57,tensor(0.0280),tensor(0.0172),tensor(0.3268)
58,tensor(0.0284),tensor(0.0173),tensor(0.3312)
59,tensor(0.0286),tensor(0.0176),tensor(0.3333)
60,tensor(0.0286),tensor(0.0177),tensor(0.3333)
61,tensor(0.0287),tensor(0.0177),tensor(0.3312)
62,tensor(0.0291),tensor(0.0179),tensor(0.3420)
63,tensor(0.0292),tensor(0.0179),tensor(0.3377)
64,tensor(0.0292),tensor(0.0180),tensor(0.3398)
65,tensor(0.0293),tensor(0.0180),tensor(0.3398)
66,tensor(0.0293),tensor(0.0179),tensor(0.3355)
67,tensor(0.0292),tensor(0.0177),tensor(0.3312)
68,tensor(0.0297),tensor(0.0180),tensor(0.3333)
69,tensor(0.0297),tensor(0.0179),tensor(0.3290)
70,tensor(0.0294),tensor(0.0179),tensor(0.3312)
71,tensor(0.0298),tensor(0.0182),tensor(0.3355)
72,tensor(0.0298),tensor(0.0181),tensor(0.3355)
73,tensor(0.0301),tensor(0.0185),tensor(0.3420)
74,tensor(0.0302),tensor(0.0185),tensor(0.3398)
75,tensor(0.0302),tensor(0.0187),tensor(0.3442)
76,tensor(0.0300),tensor(0.0186),tensor(0.3420)
77,tensor(0.0301),tensor(0.0184),tensor(0.3420)
78,tensor(0.0307),tensor(0.0186),tensor(0.3485)
79,tensor(0.0305),tensor(0.0186),tensor(0.3506)
80,tensor(0.0298),tensor(0.0183),tensor(0.3442)
81,tensor(0.0301),tensor(0.0180),tensor(0.3442)
82,tensor(0.0299),tensor(0.0183),tensor(0.3506)
83,tensor(0.0301),tensor(0.0183),tensor(0.3506)
84,tensor(0.0297),tensor(0.0182),tensor(0.3463)
85,tensor(0.0303),tensor(0.0186),tensor(0.3506)
86,tensor(0.0300),tensor(0.0179),tensor(0.3485)
87,tensor(0.0303),tensor(0.0187),tensor(0.3528)
88,tensor(0.0303),tensor(0.0186),tensor(0.3506)
89,tensor(0.0306),tensor(0.0192),tensor(0.3550)
90,tensor(0.0312),tensor(0.0193),tensor(0.3658)
91,tensor(0.0311),tensor(0.0192),tensor(0.3615)
92,tensor(0.0313),tensor(0.0194),tensor(0.3636)
93,tensor(0.0312),tensor(0.0193),tensor(0.3636)
94,tensor(0.0313),tensor(0.0192),tensor(0.3615)
95,tensor(0.0314),tensor(0.0190),tensor(0.3593)
96,tensor(0.0313),tensor(0.0190),tensor(0.3593)
97,tensor(0.0314),tensor(0.0190),tensor(0.3615)
98,tensor(0.0312),tensor(0.0192),tensor(0.3615)
99,tensor(0.0310),tensor(0.0195),tensor(0.3636)
100,tensor(0.0308),tensor(0.0195),tensor(0.3658)
101,tensor(0.0304),tensor(0.0192),tensor(0.3593)
102,tensor(0.0307),tensor(0.0193),tensor(0.3658)
103,tensor(0.0311),tensor(0.0195),tensor(0.3701)
104,tensor(0.0312),tensor(0.0195),tensor(0.3701)
105,tensor(0.0313),tensor(0.0196),tensor(0.3701)
106,tensor(0.0311),tensor(0.0195),tensor(0.3680)
107,tensor(0.0310),tensor(0.0193),tensor(0.3658)
108,tensor(0.0313),tensor(0.0195),tensor(0.3701)
109,tensor(0.0312),tensor(0.0194),tensor(0.3680)
110,tensor(0.0311),tensor(0.0193),tensor(0.3658)
111,tensor(0.0308),tensor(0.0192),tensor(0.3658)
112,tensor(0.0308),tensor(0.0194),tensor(0.3680)
113,tensor(0.0310),tensor(0.0195),tensor(0.3680)
114,tensor(0.0310),tensor(0.0193),tensor(0.3680)
115,tensor(0.0308),tensor(0.0192),tensor(0.3658)
116,tensor(0.0307),tensor(0.0191),tensor(0.3615)
117,tensor(0.0308),tensor(0.0192),tensor(0.3636)
118,tensor(0.0307),tensor(0.0191),tensor(0.3615)
119,tensor(0.0303),tensor(0.0191),tensor(0.3593)
120,tensor(0.0301),tensor(0.0188),tensor(0.3571)
121,tensor(0.0303),tensor(0.0190),tensor(0.3571)
122,tensor(0.0300),tensor(0.0190),tensor(0.3571)
123,tensor(0.0302),tensor(0.0190),tensor(0.3571)
124,tensor(0.0301),tensor(0.0190),tensor(0.3550)
125,tensor(0.0301),tensor(0.0190),tensor(0.3571)
126,tensor(0.0301),tensor(0.0190),tensor(0.3571)
127,tensor(0.0297),tensor(0.0187),tensor(0.3485)
128,tensor(0.0298),tensor(0.0187),tensor(0.3506)
129,tensor(0.0300),tensor(0.0188),tensor(0.3506)
130,tensor(0.0298),tensor(0.0186),tensor(0.3463)
131,tensor(0.0298),tensor(0.0186),tensor(0.3463)
132,tensor(0.0298),tensor(0.0188),tensor(0.3485)
133,tensor(0.0298),tensor(0.0188),tensor(0.3485)
134,tensor(0.0297),tensor(0.0190),tensor(0.3485)
135,tensor(0.0294),tensor(0.0188),tensor(0.3442)
136,tensor(0.0293),tensor(0.0189),tensor(0.3463)
137,tensor(0.0294),tensor(0.0190),tensor(0.3442)
138,tensor(0.0298),tensor(0.0190),tensor(0.3442)
139,tensor(0.0292),tensor(0.0189),tensor(0.3420)
140,tensor(0.0289),tensor(0.0189),tensor(0.3442)
141,tensor(0.0289),tensor(0.0189),tensor(0.3442)
142,tensor(0.0292),tensor(0.0191),tensor(0.3463)
143,tensor(0.0289),tensor(0.0190),tensor(0.3463)
144,tensor(0.0290),tensor(0.0190),tensor(0.3442)
145,tensor(0.0294),tensor(0.0194),tensor(0.3485)
146,tensor(0.0292),tensor(0.0192),tensor(0.3463)
147,tensor(0.0291),tensor(0.0192),tensor(0.3442)
148,tensor(0.0291),tensor(0.0192),tensor(0.3442)
149,tensor(0.0291),tensor(0.0192),tensor(0.3420)
150,tensor(0.0289),tensor(0.0189),tensor(0.3398)
151,tensor(0.0288),tensor(0.0191),tensor(0.3420)
152,tensor(0.0286),tensor(0.0187),tensor(0.3377)
153,tensor(0.0286),tensor(0.0187),tensor(0.3377)
154,tensor(0.0287),tensor(0.0187),tensor(0.3377)
155,tensor(0.0287),tensor(0.0187),tensor(0.3398)
156,tensor(0.0287),tensor(0.0187),tensor(0.3377)
157,tensor(0.0287),tensor(0.0187),tensor(0.3377)
158,tensor(0.0289),tensor(0.0190),tensor(0.3420)
159,tensor(0.0288),tensor(0.0188),tensor(0.3377)
160,tensor(0.0289),tensor(0.0189),tensor(0.3420)
161,tensor(0.0287),tensor(0.0188),tensor(0.3398)
162,tensor(0.0287),tensor(0.0188),tensor(0.3398)
163,tensor(0.0287),tensor(0.0188),tensor(0.3398)
164,tensor(0.0288),tensor(0.0188),tensor(0.3398)
165,tensor(0.0282),tensor(0.0186),tensor(0.3377)
166,tensor(0.0284),tensor(0.0186),tensor(0.3377)
167,tensor(0.0285),tensor(0.0186),tensor(0.3377)
168,tensor(0.0282),tensor(0.0186),tensor(0.3377)
169,tensor(0.0281),tensor(0.0184),tensor(0.3355)
170,tensor(0.0282),tensor(0.0186),tensor(0.3377)
171,tensor(0.0284),tensor(0.0186),tensor(0.3377)
172,tensor(0.0284),tensor(0.0186),tensor(0.3377)
173,tensor(0.0282),tensor(0.0184),tensor(0.3333)
174,tensor(0.0284),tensor(0.0184),tensor(0.3333)
175,tensor(0.0287),tensor(0.0185),tensor(0.3377)
