# Arguments: [ComplEx(2625, num_relations=1, hidden_channels=50), 8000, 100, True]
# Training time: 141.48956537246704
Epoch,Loss,Precision,Recall,Hits
0,0.6931490004062653,0.0087,0.0102,0.1342
1,0.6931102931499481,0.0084,0.0103,0.1364
2,0.693089771270752,0.0089,0.0103,0.1429
3,0.6930686652660369,0.009,0.0103,0.1472
4,0.693047696352005,0.0089,0.0103,0.1472
5,0.6930302739143371,0.0089,0.0105,0.1472
6,0.6930099189281463,0.0091,0.0106,0.1494
7,0.6929890751838684,0.0095,0.0106,0.1558
8,0.6929684937000274,0.0101,0.0108,0.1667
9,0.6929441511631012,0.0101,0.0107,0.1667
10,0.6929222524166108,0.0108,0.0109,0.1732
11,0.6928918063640594,0.0114,0.0111,0.1797
12,0.6928671777248383,0.0116,0.0113,0.1861
13,0.6928377032279969,0.012,0.0114,0.1905
14,0.6928024291992188,0.0124,0.0115,0.197
15,0.692772114276886,0.013,0.0116,0.1991
16,0.6927376747131347,0.0139,0.0118,0.21
17,0.6926948964595795,0.0146,0.0122,0.2165
18,0.6926539301872253,0.0152,0.0123,0.2186
19,0.6926081657409668,0.0157,0.0123,0.2273
20,0.6925674974918365,0.0155,0.0123,0.2273
21,0.6925130665302277,0.0162,0.0128,0.2403
22,0.6924638509750366,0.0169,0.013,0.2446
23,0.6924081325531006,0.0173,0.0133,0.2446
24,0.6923494279384613,0.0182,0.0136,0.2532
25,0.6922875106334686,0.0193,0.014,0.2684
26,0.6922241508960724,0.02,0.0143,0.2771
27,0.6921487033367157,0.0199,0.0142,0.2771
28,0.6920772433280945,0.0202,0.0142,0.2749
29,0.6920082688331604,0.0209,0.0144,0.2814
30,0.691924226284027,0.021,0.0144,0.2857
31,0.6918424367904663,0.0215,0.0146,0.29
32,0.6917623698711395,0.0216,0.0146,0.29
33,0.6916705012321472,0.022,0.0146,0.2944
34,0.6915828227996826,0.0225,0.015,0.3009
35,0.6914803981781006,0.0227,0.0154,0.3052
36,0.6913829565048217,0.0231,0.0155,0.3117
37,0.6912802040576935,0.0238,0.0157,0.3182
38,0.691175901889801,0.0237,0.0156,0.316
39,0.6910565495491028,0.024,0.0157,0.316
40,0.6909533560276031,0.0241,0.0157,0.3117
41,0.6908205628395081,0.0247,0.0159,0.3139
42,0.6906964361667634,0.025,0.016,0.3139
43,0.6905729651451111,0.0251,0.016,0.3182
44,0.6904467821121216,0.0253,0.016,0.3182
45,0.6903105735778808,0.0258,0.0164,0.329
46,0.6901869237422943,0.0259,0.0168,0.3333
47,0.6900204956531525,0.0264,0.017,0.3398
48,0.6898881435394287,0.0264,0.0168,0.3355
49,0.6897584021091461,0.0273,0.0171,0.342
50,0.6895766437053681,0.0276,0.0173,0.3442
51,0.6894237697124481,0.0276,0.0181,0.3463
52,0.6892836093902588,0.0276,0.0181,0.3442
53,0.6891093552112579,0.0278,0.0182,0.3485
54,0.6889475286006927,0.0281,0.0182,0.3463
55,0.6887713611125946,0.0281,0.0184,0.3485
56,0.6885976016521453,0.0282,0.0184,0.3463
57,0.6884229421615601,0.0281,0.0184,0.342
58,0.6882463157176971,0.0282,0.0185,0.3485
59,0.688073742389679,0.0287,0.0186,0.3463
60,0.68786780834198,0.0291,0.0187,0.3506
61,0.6876742482185364,0.0292,0.0181,0.3528
62,0.6874707996845245,0.0293,0.0183,0.3571
63,0.6872767865657806,0.0293,0.0183,0.3571
64,0.6870954811573029,0.0295,0.0184,0.3593
65,0.6868906378746032,0.0298,0.0186,0.368
66,0.6866903841495514,0.03,0.0186,0.368
67,0.6864378035068512,0.03,0.0187,0.3701
68,0.6862614154815674,0.0299,0.0187,0.368
69,0.6860298156738281,0.03,0.0186,0.3658
70,0.6858095943927764,0.03,0.0185,0.3615
71,0.6855587244033814,0.0301,0.0186,0.3636
72,0.6853331327438354,0.0301,0.0187,0.3636
73,0.6851239502429962,0.0303,0.0188,0.3636
74,0.6848744750022888,0.0306,0.0189,0.368
75,0.684625792503357,0.0307,0.0188,0.3658
76,0.6843824446201324,0.0308,0.0189,0.368
77,0.684157544374466,0.0312,0.0191,0.3701
78,0.6839182853698731,0.0307,0.019,0.368
79,0.6836911082267761,0.0307,0.0188,0.3658
80,0.6834126710891724,0.0307,0.0188,0.3658
81,0.6831629574298859,0.0303,0.0187,0.3658
82,0.6829134345054626,0.0307,0.0188,0.3658
83,0.682669049501419,0.0311,0.0189,0.368
84,0.6823819756507874,0.0312,0.0189,0.3701
85,0.682147091627121,0.0314,0.019,0.3723
86,0.6818535506725312,0.0312,0.019,0.3658
87,0.6815895140171051,0.0314,0.0191,0.368
88,0.6812960922718048,0.0315,0.0192,0.368
89,0.681056147813797,0.0312,0.0193,0.368
90,0.6807030320167542,0.0308,0.0193,0.368
91,0.6805040895938873,0.0308,0.0193,0.368
92,0.6801526427268982,0.031,0.0193,0.3701
93,0.6798865675926209,0.0311,0.0193,0.3723
94,0.6796259105205535,0.0311,0.0193,0.3701
95,0.6793115913867951,0.031,0.0193,0.3701
96,0.6790391325950622,0.0312,0.0193,0.3723
97,0.678771686553955,0.031,0.0191,0.368
98,0.6784923076629639,0.0308,0.0191,0.368
99,0.6781138777732849,0.0308,0.0191,0.3658
