# Arguments: [ComplEx(3595, num_relations=7, hidden_channels=50), 8000, 100, False]
# Training time: 140.91519498825073
Epoch,Loss,Precision,Recall,Hits
0,0.6931497233161656,"tensor(0.0063, device='cuda:0')","tensor(0.0085, device='cuda:0')","tensor(0.1061, device='cuda:0')"
1,0.6931188290668571,"tensor(0.0070, device='cuda:0')","tensor(0.0089, device='cuda:0')","tensor(0.1234, device='cuda:0')"
2,0.6931013139249611,"tensor(0.0075, device='cuda:0')","tensor(0.0091, device='cuda:0')","tensor(0.1277, device='cuda:0')"
3,0.6930876194916655,"tensor(0.0076, device='cuda:0')","tensor(0.0092, device='cuda:0')","tensor(0.1299, device='cuda:0')"
4,0.6930747799322495,"tensor(0.0081, device='cuda:0')","tensor(0.0093, device='cuda:0')","tensor(0.1342, device='cuda:0')"
5,0.6930634602986967,"tensor(0.0082, device='cuda:0')","tensor(0.0093, device='cuda:0')","tensor(0.1364, device='cuda:0')"
6,0.6930562668548016,"tensor(0.0083, device='cuda:0')","tensor(0.0092, device='cuda:0')","tensor(0.1407, device='cuda:0')"
7,0.6930424255803165,"tensor(0.0087, device='cuda:0')","tensor(0.0094, device='cuda:0')","tensor(0.1450, device='cuda:0')"
8,0.6930311593714055,"tensor(0.0090, device='cuda:0')","tensor(0.0096, device='cuda:0')","tensor(0.1515, device='cuda:0')"
9,0.69301872100753,"tensor(0.0091, device='cuda:0')","tensor(0.0097, device='cuda:0')","tensor(0.1515, device='cuda:0')"
10,0.6930059198167572,"tensor(0.0092, device='cuda:0')","tensor(0.0097, device='cuda:0')","tensor(0.1515, device='cuda:0')"
11,0.6929934750731757,"tensor(0.0094, device='cuda:0')","tensor(0.0097, device='cuda:0')","tensor(0.1558, device='cuda:0')"
12,0.6929786932494592,"tensor(0.0096, device='cuda:0')","tensor(0.0098, device='cuda:0')","tensor(0.1602, device='cuda:0')"
13,0.6929654804219093,"tensor(0.0100, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.1645, device='cuda:0')"
14,0.6929502680381925,"tensor(0.0104, device='cuda:0')","tensor(0.0103, device='cuda:0')","tensor(0.1710, device='cuda:0')"
15,0.6929350072048714,"tensor(0.0105, device='cuda:0')","tensor(0.0103, device='cuda:0')","tensor(0.1732, device='cuda:0')"
16,0.692915265525283,"tensor(0.0107, device='cuda:0')","tensor(0.0104, device='cuda:0')","tensor(0.1797, device='cuda:0')"
17,0.6928991901027963,"tensor(0.0108, device='cuda:0')","tensor(0.0104, device='cuda:0')","tensor(0.1818, device='cuda:0')"
18,0.6928798049972377,"tensor(0.0110, device='cuda:0')","tensor(0.0104, device='cuda:0')","tensor(0.1840, device='cuda:0')"
19,0.6928582663023104,"tensor(0.0114, device='cuda:0')","tensor(0.0106, device='cuda:0')","tensor(0.1883, device='cuda:0')"
20,0.6928383510779825,"tensor(0.0119, device='cuda:0')","tensor(0.0107, device='cuda:0')","tensor(0.1926, device='cuda:0')"
21,0.6928177383620525,"tensor(0.0119, device='cuda:0')","tensor(0.0107, device='cuda:0')","tensor(0.1948, device='cuda:0')"
