# Arguments: [RotatE(2625, num_relations=1, hidden_channels=50), 8000, 100, True]
# Training time: 147.31998562812805
Epoch,Loss,Precision,Recall,Hits
0,4.28234748840332,"tensor(0.0067, device='cuda:0')","tensor(0.0091, device='cuda:0')","tensor(0.1147, device='cuda:0')"
1,4.227127885818481,"tensor(0.0051, device='cuda:0')","tensor(0.0085, device='cuda:0')","tensor(0.0866, device='cuda:0')"
2,4.170655059814453,"tensor(0.0049, device='cuda:0')","tensor(0.0085, device='cuda:0')","tensor(0.0866, device='cuda:0')"
3,4.113036489486694,"tensor(0.0043, device='cuda:0')","tensor(0.0083, device='cuda:0')","tensor(0.0758, device='cuda:0')"
4,4.054369258880615,"tensor(0.0042, device='cuda:0')","tensor(0.0082, device='cuda:0')","tensor(0.0758, device='cuda:0')"
5,3.9947774171829225,"tensor(0.0040, device='cuda:0')","tensor(0.0081, device='cuda:0')","tensor(0.0714, device='cuda:0')"
6,3.9343895435333254,"tensor(0.0035, device='cuda:0')","tensor(0.0079, device='cuda:0')","tensor(0.0649, device='cuda:0')"
7,3.8737029314041136,"tensor(0.0036, device='cuda:0')","tensor(0.0077, device='cuda:0')","tensor(0.0693, device='cuda:0')"
8,3.8121983766555787,"tensor(0.0038, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.0736, device='cuda:0')"
9,3.750739812850952,"tensor(0.0039, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.0758, device='cuda:0')"
10,3.688971519470215,"tensor(0.0039, device='cuda:0')","tensor(0.0079, device='cuda:0')","tensor(0.0758, device='cuda:0')"
11,3.6275006532669067,"tensor(0.0038, device='cuda:0')","tensor(0.0079, device='cuda:0')","tensor(0.0736, device='cuda:0')"
12,3.5652913808822633,"tensor(0.0036, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.0693, device='cuda:0')"
13,3.5034796714782717,"tensor(0.0039, device='cuda:0')","tensor(0.0079, device='cuda:0')","tensor(0.0758, device='cuda:0')"
14,3.4414050817489623,"tensor(0.0035, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.0671, device='cuda:0')"
15,3.378580021858215,"tensor(0.0032, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.0628, device='cuda:0')"
16,3.3160293817520143,"tensor(0.0029, device='cuda:0')","tensor(0.0076, device='cuda:0')","tensor(0.0563, device='cuda:0')"
17,3.254285717010498,"tensor(0.0031, device='cuda:0')","tensor(0.0076, device='cuda:0')","tensor(0.0606, device='cuda:0')"
18,3.1922186613082886,"tensor(0.0031, device='cuda:0')","tensor(0.0076, device='cuda:0')","tensor(0.0606, device='cuda:0')"
19,3.129753279685974,"tensor(0.0032, device='cuda:0')","tensor(0.0076, device='cuda:0')","tensor(0.0628, device='cuda:0')"
20,3.0682414054870604,"tensor(0.0032, device='cuda:0')","tensor(0.0076, device='cuda:0')","tensor(0.0606, device='cuda:0')"
