# Arguments: [DistMult(2625, num_relations=1, hidden_channels=50), 8000, 100, True]
# Training time: 125.04574608802795
Epoch,Loss,Precision,Recall,Hits
0,0.999998426437378,0.0079,0.0097,0.1429
1,0.9999906063079834,0.0078,0.0097,0.1407
2,0.999968069791794,0.0079,0.0097,0.1429
3,0.9999649167060852,0.008,0.0098,0.1429
4,0.9999592721462248,0.0078,0.0096,0.1385
5,0.9999492228031158,0.0077,0.0096,0.1364
6,0.9999340832233428,0.0079,0.0098,0.1429
7,0.9999181747436524,0.0078,0.0097,0.1429
8,0.9999084174633026,0.0076,0.0096,0.1407
9,0.9998872995376586,0.0074,0.0096,0.1364
10,0.999880188703537,0.0075,0.0096,0.1364
11,0.9998681306838988,0.0074,0.0096,0.1342
12,0.9998550713062286,0.0069,0.0096,0.1255
13,0.9998300611972808,0.0067,0.0095,0.1234
14,0.9998166918754576,0.007,0.0096,0.1277
15,0.9997982025146483,0.007,0.0096,0.1277
16,0.9997685730457306,0.0068,0.0095,0.1234
17,0.9997458040714264,0.0073,0.0097,0.132
18,0.9997284114360808,0.0074,0.0097,0.1342
19,0.999703538417816,0.0075,0.0097,0.1364
20,0.9996713995933532,0.0077,0.0098,0.1385
21,0.999636572599411,0.0081,0.0099,0.1429
22,0.9995904326438904,0.0083,0.0099,0.1429
23,0.9995470881462096,0.0085,0.01,0.1472
24,0.999499899148941,0.009,0.0101,0.1515
25,0.9994292080402374,0.0095,0.0103,0.1623
26,0.9993806540966034,0.01,0.0106,0.171
27,0.9992963969707488,0.0103,0.0107,0.1775
28,0.999209588766098,0.0109,0.0109,0.1797
29,0.9991266191005708,0.0117,0.011,0.1861
30,0.99900763630867,0.0119,0.0111,0.1861
31,0.9988901197910308,0.0131,0.0114,0.1948
32,0.9987457871437072,0.0137,0.0112,0.197
33,0.9985855758190156,0.0143,0.0114,0.2013
34,0.9984127700328826,0.0152,0.0116,0.2208
35,0.9982175767421724,0.0158,0.0117,0.2294
36,0.9980054378509522,0.0172,0.0122,0.2338
37,0.9977594316005708,0.0185,0.0125,0.2424
38,0.997481882572174,0.0196,0.0128,0.2511
39,0.9971801459789276,0.0198,0.0128,0.2489
40,0.9968644559383392,0.0198,0.0128,0.2446
41,0.9964750528335572,0.0207,0.0131,0.2576
42,0.996067088842392,0.0212,0.0136,0.2684
43,0.995640641450882,0.0213,0.0136,0.2684
44,0.9951302349567414,0.0219,0.0136,0.2641
45,0.9945930778980256,0.0224,0.0137,0.2684
46,0.9940503895282744,0.0225,0.0134,0.2727
47,0.9934360027313232,0.0229,0.0135,0.2727
48,0.992751681804657,0.0227,0.0135,0.2749
49,0.992001301050186,0.0227,0.0134,0.2662
50,0.991224181652069,0.0227,0.0136,0.2706
51,0.990374845266342,0.0227,0.0135,0.2727
52,0.9894811391830444,0.0223,0.0135,0.2684
53,0.988482254743576,0.0227,0.0135,0.2706
54,0.9874614775180816,0.0222,0.0133,0.2662
55,0.9862899661064148,0.0224,0.0134,0.2706
56,0.9850623846054076,0.0221,0.0131,0.2662
57,0.9838993787765504,0.0227,0.0132,0.2662
58,0.982493269443512,0.0228,0.0133,0.2684
59,0.9810721099376678,0.0234,0.0137,0.2792
60,0.9796071529388428,0.0234,0.0135,0.2771
61,0.9779976665973664,0.0237,0.0136,0.2749
62,0.9762747108936308,0.0236,0.0136,0.2684
63,0.974469155073166,0.0244,0.0137,0.2771
64,0.9727149188518524,0.0242,0.0136,0.2749
65,0.9707120478153228,0.024,0.0136,0.2749
66,0.9685751020908356,0.0242,0.0136,0.2749
67,0.966390573978424,0.025,0.0139,0.2835
68,0.96411229968071,0.0254,0.0141,0.2879
69,0.9617723524570464,0.0258,0.0142,0.2857
70,0.9593142092227936,0.026,0.0141,0.2857
71,0.956699401140213,0.0266,0.0143,0.2944
72,0.9541917443275452,0.0262,0.0142,0.2879
73,0.9512218534946442,0.0258,0.014,0.2857
74,0.9482936441898346,0.0254,0.0138,0.2814
75,0.9453555285930634,0.0256,0.0136,0.2814
76,0.9420089900493622,0.0254,0.0137,0.2835
77,0.93902468085289,0.0253,0.0136,0.2835
78,0.935627543926239,0.0256,0.0137,0.2857
79,0.9321253180503846,0.0255,0.0137,0.2857
80,0.9286258578300476,0.0258,0.0139,0.29
81,0.9245048105716706,0.026,0.0139,0.2922
82,0.9208822786808014,0.0261,0.014,0.2944
83,0.9170366585254668,0.0262,0.0141,0.2965
84,0.9127703309059144,0.0262,0.0141,0.2944
85,0.9090499401092528,0.0269,0.0145,0.3052
86,0.9045682311058044,0.0274,0.0154,0.3095
87,0.8998301327228546,0.0274,0.015,0.3139
88,0.8956815063953399,0.0273,0.0149,0.3117
89,0.8905293226242066,0.0272,0.0149,0.3117
90,0.8865566372871398,0.0274,0.015,0.3117
91,0.8813463568687439,0.0273,0.015,0.3117
92,0.8761647999286651,0.0275,0.0157,0.3139
93,0.8708804249763489,0.0277,0.0157,0.316
94,0.8654998123645783,0.0274,0.0156,0.316
95,0.8603482067584991,0.0274,0.0156,0.316
96,0.8548617839813233,0.0278,0.0159,0.3182
97,0.8488919019699097,0.0278,0.0159,0.3203
98,0.8429945409297943,0.0278,0.0159,0.3203
99,0.8375689327716828,0.0278,0.0152,0.3182
